Judul,Isi,Kategori
"Pendiri Koperasi di Kudus Gelapkan Dana Nasabah, Total Kerugian Hingga Rp. 264 Miliar","SEMARANG, 10/10 (BeritaJateng.net) – Jajaran Direktorat Reserse Kriminal Khusus (Ditreskrimsus) Polda Jateng menangkap seorang pria yang melakukan tindakan pidana perbankan dan pencucian uang. Kerugian yang sudah dilaporkan senilai Rp 16 miliar, sedangkan potensi kerugian nasabah mencapai Rp 267 miliar.Hal tersebut disampaikan Direktur Reserse Kriminal Khusus (Dirreskrimsus) Kombes Pol Dwi Subagio didampingi Kabid Humas Kombes Pol Iqbal Alqudusy serta perwakilan Otoritas Jasa Keuangan (OJK) dan Dinas Koperasi Provinsi Jateng dalam sebuah konferensi pers di kantor Ditreskrimsus Polda Jateng, Banyumanik, Kota Semarang pada Senin, (10/10).Tersangka yang berhasil ditangkap berinisial AH (45) warga Kudus yang disebut sebagai pendiri Koperasi Simpan Pinjam (KSP) GMG Giri Muria Group yang beroperasi di Kabupaten Kudus.“Aksinya dilakukan sejak 2015 sampai 2021. Korban yang sudah melapor sembilan orang dengan kerugian Rp 16,6 M,” kata Kombes Iqbal Alqudusy.Lebih lanjut, Dirreskrimsus Kombes Dwi Subagio menjelaskan modus tersangka yaitu menarik nasabah atau masyarakat untuk menyimpan uangnya dengan iming-iming bunga tinggi.“Modus operandi yang dilakukan, dia menghimpun dana dengan iming-iming ke masyarakat dengan bunga 12-15 persen pertahun. Padahal normatifnya, sekitar 3-4 persen setahun,” jelas Dwi.Ia menjelaskan ada potensi kerugian nasabah senilai Rp 267 miliar karena ada 2.601 masyarakat dan nasabah yang menghimpun dana di KSP tersebut.“Dari pengembangan, sejak 2015, warga yang himpun dana 2.601 orang. Ditkrimsus Polda Jateng bekerja sama dengan Kurator dan Ojk memperkirakan terdapat Potensi kerugian Rp 267 M,” tegasnya.Tersangka menggunakan uang tersebut untuk membeli sejumlah kendaraan, aset tanah, hingga membeli saham. Setidaknya ada 12 sertifikat tanah yang sudah hak milik yang disita. Namun total nilai aset baru Rp 8 miliar.“Yang dari penyimpanan digunakan untuk menutupi kegiatan lain. Untuk beli aset tanah, ada 12 sertifikat. Yang jadi pertanyaan dari sekian banyak potensi kerugian, yang kami sita baru Rp 8,5 M,” tegasnya.Saat ini kasus tersebut masih didalami dan tersangka dijerat Pasal 46 Undang-Undang No. 10 Tahun 1998 tentang perubahan atas Undang-Undang No. 7 Tahun 1992 tentang Perbankan dan Pasal 3 Undang-Undang No. 8 Tahun 2010 tentang Pencegahan dan Pemberantasan Tindak Pidana Pencucian Uang.“Ancaman hukuman minimal 5 tahun maksimal 15 tahun penjara,” tegas Dwi.Sementara itu tersangka, AH mengaku Koperasinya awalnya berjalan baik namun kemudian terkena dampak pandemi COVID-19 sehingga banyak kredit macet dan mulai colabs.“Tadinya baik baik saja, tapi ada pandemi mulai collapse,” ujarnya.Terkait kejadian ini, Kabidhumas mengimbau agar masyarakat yang merasa menjadi korban agar melapor ke instansi terkait bisa kepolisian, OJK, atau Dinas Koperasi setempat.“Silahkan melapor bila ada yang merasa menjadi korban dalam kasus ini,” tegasnyaDirinya juga menghimbau masyarakat untuk hati-hati dalam berinvestasi dan tidak mudah tergiur dengan iming-iming bunga tinggi.“Silahkan konsultasikan dulu ke pihak berwenang dan cek legalitasnya. Saat ini banyak tawaran investasi menggiurkan, namun sekali lagi masyarakat diimbau untuk berhati-hati,” tandasnya. (Ak/El)",Kriminal
Cak Imin Yakin Duet AMIN Daftar Capres-Cawapres ke KPU Hari Pertama...,"SERANG– Ketua Umum PKB, Muhaimin Iskandar alias Cak Imin merasa percaya diri atau pede duet Anies Baswedan dan Cak Imin (AMIN) akan mendaftar di hari pertama pendaftaran capres-cawapres pada 19 Oktober 2023 mendatang.“Insyaallah kami akan ke KPU tanggal 19 Oktober yang akan datang. Mohon doanya, restunya,” ujar Cak Imin saat berkunjung ke Pondok Pesantren Nurul Islam, Jember, Jawa Timur, Kamis (28/9/2023).Bakal cawapres Koalisi Perubahan itu menyampaikan keputusannya berpasangan dengan Anies ditentukan dalam waktu yang singkat.Cak Imin mengaku pernah berada di suatu koalisi namun tidak kunjung mendapat arah yang jelas.“Alhamdulillah tiba tiba dapat kabar Mas Anies juga mandek, pacaran sama yang sono juga gagal, walhasil jomblo ketemu jomblo,” ungkap Cak Imin melansir suara.com (jaringan BantenNews.co.id).Sebagai informasi, DPR dan Pemerintah menyetujui untuk menetapkan jadwal pendaftaran capres dan cawapres pada 19-25 Oktober 2023. Kesepakatan itu disetujui dalam rapat antara Komisi II DPR, Pemerintah, KPU, DKPP, dan Bawaslu.(Red)",Politik
Polda Banten Apel Gelar Pasukan Operasi Mantap Brata Untuk Kawal Pemilu...,"SERANG–  Situasi politik menjelang Pemilu 2024 kian menghangat. Pengamanan untuk kelancaran Pemilu sangat penting menjaga kondisi bangsa tetap kondusif menjelang hajat demokrasi lima tahunan ini.Kapolda Banten Irjen Pol Rudy Heriyanto mengatakan telah membentuk pola sistem keamanan zonasi. Dalam model pengamanan itu juga melibatkan dari personil Korbrimob Polri serta Dalmas Nusantara.“Polri telah membentuk pola sistem pengamanan kewilayahan atau zonasi bagi Korbrimob Polri dan Dalmas Nusantara, Polri juga menyiapkan 2000 personel Brimob Power On Hand Kapolri serta 8.500 personel Dalmas Nusantara yang siap di mobilisasi,” jelasnya.Selain itu, sebagai dukungan Operasi Mantap Brata, Polri juga menggelar Operasi Cooling System.“Polri juga menggelar Operasi Nusantara Cooling System 2023-2024 untuk membangun narasi besar persatuan dan kesatuan serta kemajuan bangsa diatas kepentingan kelompok guna mengantisipasi polarisasi berita hoaks, SARA, propaganda dan lain-lain,” tambah Rudy.Rudy menyebutkan Pemilu 2024 menjadi sebuah pesta demokrasi terbesar yang akan menjadi bukti kematangan demokrasi Indonesia. Oleh karenanya, dibutuhkan dukungan dari berbagai komponen untuk mensukseskan pemilihan serentak tersebut.“Guna mengamankan Pemilu 2024 maka Polri didukung TNI, kementerian, instansi terkait dan mitra Kamtibmas lainnya menggelar Operasi Mantap Brata 2023-2024,” tutur Rudy.Dalam kegiatan ini, kata Rudy, turut diiringi dengan penguatan strategi komunikasi publik untuk memberikan sosialisasi kepada masyarakat. Harapannya dengan sosialisasi tersebut, masyarakat juga bisa menjaga stabilitas Kamtibmas pada Pemilu 2024 mendatang.“Operasi Mantap Brata 2023-2024 tentunya diiringi dengan penguatan strategi komunikasi publik untuk memberikan sosialisasi kepada masyarakat, agar masyarakat senantiasa menjaga persatuan dan kesatuan bangsa, ikut berparisipasi dalam menjaga stabilitas kamtibmas pada Pemilu 2023-2024,” katanya.Untuk diketahui, menyiapkan personel gabungan sebanyak 261.695 personel Polri dan dilaksanakan selama 222 hari yakni sejak 19 Oktober 2023 hingga 20 Oktober 2024.(Red)",Politik
Erick Thohir Beberkan Tiga Alasan Indonesia Terpilih Tuan Rumah Piala Dunia...,"JAKARTA– Ketua Umum Persatuan Sepak Bola Seluruh Indonesia (PSSI) Erick Thohir menyebut ada sekitar tiga kemungkinan yang membuat FIFA menunjuk Indonesia sebagai tuan rumah Piala Dunia U-17 2023. Turnamen itu dijadwalkan bakal berlangsung pada 10 November hingga 2 Desember mendatang.FIFA resmi menunjuk Indonesia sebagai tuan rumah Piala Dunia U-17 2023 pasca menggelar rapat dewan pada Jumat (23/6/2023) lalu.Penunjukkan menjadi angin segar untuk sepak bola Tanah Air yang sempat diterpa dengan berita miring. Kini, Indonesia mendapat kesempatan sekaligus tanggung jawab besar untuk menggelar ajang serupa yakni Piala Dunia U-17 2023.Dilansir dari Suara.com (jaringan BantenNews.co.id), Erick Thohir mengungkap setidaknya 3 faktor yang dianggap berperan dalam keputusan FIFA menunjuk Indonesia sebagai tuan rumah Piala Dunia U17 2023.1. Prestasi Timnas Indonesia Kian MeningkatMenurut Erick, faktor pertama yang membuat FIFA yakin menunjuk Indonesia sebagai pengganti Peru untuk menjadi host Piala Dunia U-17 2023 dikarenakan mulai bangkitnya sepak bola Tanah Air.Timnas Indonesia berhasil jadi juara SEA Games 2023 dan mendapat medali emas perdana ajang itu sejak terakhir kali mendapatkannya pada 1991 silam.Sepak bola Indonesia sebelumnya sempa digempur dengan sejumlah kejadian yang tak mengenakan, seperti peristiwa Kanjuruhan hingga batalnya perhelatan Piala Dunia U-20 2023 di Indonesia setelah statusnya dicabut FIFA akibat gelombang penolakan terhadap Timnas Israel.“Alhamdulillah ini kepercayaan FIFA kepada Indonesia. Mungkin FIFA melihat kita bangkit, kemarin di SEA Games bagus,” kata Erick.2. Sukses Selanggarakan Laga Besar di FIFA Matchday Juni 2023Erick menganggap performa apik Timnas Indonesia level senior yang dipimpin Shin Tae-yong juga berpengaruh dalam keputusan FIFA menunjuk Indonesia sebagai tuan rumah Piala Dunia U-17 2023.Meski tidak menang, Timnas Indonesia dianggap bermain cukup solid saat menahan imbang Palestina 0-0, dan hanya kalah 0-2 dari Argentina.Tak hanya perihal hasil, penyelenggaraan dua laga menghadapi tim besar khususnya Argentina dinilai berjalan lancar dan tanpa hambatan.“Pertandingan FIFA Match Day Palestina dan Argentina juga baik tidak ada isu aneh-aneh,” kata pria yang juga menjabat sebagai Menteri BUMN tersebut.3. Timnas Indonesia Host Kualifikasi Piala Asia U-17 2023Sebelumnya, Timnas Indonesia ditunjuk sebagai tuan rumah Kualifikasi Piala Asia U-17 2023. Meski tak meraih hasil baik dari sisi tim nasional, Indonesia dinilai Erick mampu menyelenggarakan event itu dengan lancar.Pada gelaran acara, Garuda Muda gagal menembus tiket putaran final Piala Asia U-17 setelah kalah pada laga terakhir melawan Malaysia dengan skor 1-5.“Mereka melihat kita berani menjadi host AFC U-17 2023, hal-hal ini mungkin menjadi pertimbangan mereka,” ucap Erick.(Red)",Olahraga
Propam Periksa Penggunaan Senjata Personel Polres Serang,"SERANG– Personel Propam Polres Serang melakukan kegiatan penegakan, penertiban dan disiplin (gaktibplin) terhadap personel Polsek jajaran.Selain memeriksa sikap tampang personel, Propam Polres Serang yang dipimpin Kasipropam Ipda P Rangkuti juga memeriksa kebersihan markas, kondisi serta surat-surat izin menggunakan senpi dan kendaraan.“Ini kegiatan rutin kita dilakukan di seluruh Polsek jajaran sesuai Perkap No.2/2003 tentang disiplin anggota Polri. Tujuannya untuk melihat kedisiplinan personil saat bertugas serta memeriksa dokumen senjata api dan kendaraan,” ungkap Rangkuti, Selasa (12/9/2023).Ipda Rangkuti berharap dengan kegiatan yang dilakukan Siepropam ini, baik di Polres Serang maupun Polsek jajaran dapat memperhatikan sikap tampang serta menjalankan tugasnya sesuai Standar Operasional Prosedur (SOP) yang ada.“Kedisiplinan harus diutamakan dan selalu meningkatkan pelayanan kepada masyarakat, waspada dan tidak lengah dalam bertugas,” tegasnya.Rangkuti juga mengatakan bahwa kegiatan ini dilaksanakan sesuai perintah Kapolres Serang AKBP Wiwin Setiawan agar lebih meningkatkan pelayanan yang baik sesuai program “Serang Sakti”.“Sesuai perintah pimpinan, pemeriksaan dilakukan tanpa pemberitahuan. Ini untuk melihat langsung pelaksanaan tugas mereka di lapangan secara riil, apakah sesuai dengan aturan yang sudah ditetapkan,” kata Rangkuti.Hasil kegiatan di 5 Polsek, kata Kasipropam, ditemukan penampilan rambut beberapa anggota yang tidak rapi dan langsung dilakukan tindakan cukur. Ditemukan juga SIM yang sudah habis masa berlakunya.“Untuk anggota yang SIM nya kedaluwarsa, juga kita tindak dan diberi waktu 1 hari untuk memperpanjang. Untuk lainnya Alhamdulillah baik,” tandasnya. (Red)",Kriminal
Kejurda Open Arung Jeram Digelar di Sungai Cisadane Kota Tangerang,"TANGERANG– Dinas Pemuda dan Olahraga (Dispora) Kota Tangerang sukses menjadi tuan rumah gelaran Kejuaraan Daerah (Kejurda) Open Arung Jeram yang merebutkan piala Wali Kota Tangerang Cup 2023, dengan kategori Open R6 Putra dan Putri, yang berlangsung di Sungai Cisadane, Kota Tangerang, Kamis (23/11/2023).Diketahui, pada perhelatan ini ada 12 regu yang bersaing, enam putra dan enam putri dari enam kota kabupaten dan satu klub. Yakni, Kota Tangerang, Kota Tangerang Selatan, Kota Serang, Kabupaten Lebak, Kabupaten Pandeglang, Kabupaten Tangerang dan klub Nagapala.Kepala Dispora Kota Tangerang, Kaonang mengungkapkan Kejurda Open Arung Jeram juga sebagai salah satu rangkaian kemeriahan Festival Cisadane Kota Tangerang 2023 yang masih akan berlangsung hingga 26 November mendatang.“Secara pelaksanaan, alhamdulillah semua berlangsung dengan sukses dan aman hingga akhir pertandingan. Walau sempat molor waktu akibat kondisi air yang sedikit tidak kondusif, tapi akhirnya semua berjalan dengan lancar dan selamat bagi kota kabupaten yang berhasil juara,” ungkap Kaonang.Ia pun menuturkan, sistem pertandingannya itu ada dua kategori, yaitu Sprint dan Head to Head. Kejuaraan ini digelar untuk meningkatkan kompetensi, pengalaman dan juga menjadi motivasi para atlet-atlet muda arung jeram.“Kejurda Open Arung Jeram baru pertama kali digelar di Kota Tangerang. Harapannya, perlombaan arung jeram di Kota Tangerang harus rutin dilaksanakan. Minimal setahun sekali perlombaan arung jeram dilaksanakan di sini. Supaya, olahraga yang sifatnya refreshing ini tetap lestari dan membudaya kedepannya,” paparnya.Sementara itu, Rena Arsita, atlet arung Jeram Kota Tangerang menuturkan bangga bisa kembali mewakili Kota Tangerang dalam sebuah pertandingan arung Jeram. Pada perlombaan ini, Ia pun menargetkan emas dan dapat bertanding di tingkat yang lebih tinggi lagi.“Hari ini luar biasa, penuh perjuangan. Karena arus Sungai Cisadane cukup deras dan kuat, sehingga bukan sekadar kekuatan tenaga kita para atlet juga dibutuhkan ketenangan dan pengendalian pikiran, agar tidak terkuras mental diawal,” katanya.(Ril/Red)",Olahraga
Piala Walikota Tangerang Cipete Shooting Championship 2023 Resmi Digelar,"TANGERANG– Dinas Pemuda dan Olahraga (Dispora) bersama dengan Persatuan Penembak Indonesia (Perbakin) Kota Tangerang menggelar kejuaraan menembak pada Cipete Shooting Championship 2023. Kejuaraan tersebut memperebutkan piala Walikota Tangerang, berlangsung selama tiga hari dari 28-30 Juli 2023, di Lapangan Tembak Perbakin, Cipete, Kota Tangerang.Acara dibuka langsung oleh Kepala Dispora Kota Tangerang, Kaonang, serta dihadiri langsung dari beberapa stake holder diantaranya, Ketua KONI Kota Tangerang, Dirman, Kepala Bagian Logistik Polres Metro Tangerang Kota, AKBP. Bambang, serta Kasdim 0506 Tangerang, Letkol Udin Rosidi, serta perwakilaan beberapa peserta dan panitia.“Ini merupakan kegiatan perdana open turnamen setelah Porprov VI Banten 2022. Semoga dengan pertandingan seperti ini rutin digelar tidak hanya satu tahun sekali, agar dapat menemukan bibit-bibit unggul di Kota Tangerang. Tentunya turnamen seperti ini juga sebagai upaya menjadikan Kota Tangerang sebagai Sport Tourism,” tutur Kaonang dalam keterangannya.Sementara itu, pada pertandingan Cipete Shooting Championship 2023 diikuti tidak hanya atlet dari Kota Tangerang saja, namun juga dari luar kota diantaranya Serang, Jakarta, Tasikmalaya, Depok, hingga dari Lampung. Serta tercatat sebanyak 72 peserta dari 20 klub menembak dengan berbagai usia antara 10-60 tahun. Hal ini disampaikan oleh Ketua Perbakin Kota Tangerang, R. Slamet Haryadi, pada saat membacakan laporan kegiatan.“Pertandingan ini terdapat indoor dan outdoor, untuk indoor kategorinya yakni Airpistol dan Airrifle dengan 60 sasaran tembak yang membutuhkan waktu 1,5 jam dan jarak tembak 10 meter. Sedangkan untuk outdoor ada kategori Benchrest 25 sasaran tembak pada jarak 25 meter dengan waktu 20 menit. Lalu ada Multirange 20 sasaran tembak pada jarak 18 hingga 41 meter dengan durasi 10 menit. Serta yang paling menarik ialah Monte dengan jarak 41 meter, dimana peserta harus berhasil menembak 10 kertas dalam 10 menit dengan sasaran yang tipis,” ujar Slamet.Slamet juga mengatakan kejuaraan ini tidak ada babak penyisihan, keberhasilan para peserta dilihat dari total skor menembak yang diraih. Selain itu, tidak hanya memperebutkan piala walikota, namun juga piagam penghargaan serta uang tunai dengan total senilai Rp26 juta.“Seperti yang disampaikan oleh Kadispora, harapannya turnamen ini bisa rutin digelar minimal satu tahun dua kali. Tentunya kejuaraan-kejuaraan seperti ini bisa melatih, mengasah keterampilan, dan juga memperkuat mental. Pada dasarnya pertandingan bukan soal kalah atau menang, yang terpenting kemauan. Karena kejuaraan ini juga sebagai sarana latihan, tidak hanya dari klub atau cabang,” kata Slamet. (Ril/Red)",Olahraga
Pelajar di Lebak Diduga Jadi Korban Pembacokan,"LEBAK– Seorang siswa SMPN 1 Cibadak, Kecamatan Cibadak, Kabupaten Lebak, Banten, bernama M Rifa Firdaus (15) menjadi korban pembacokan, sepulang sekolah, Senin (13/11/2023).Kanit Reskrim Polsek Cibadak Aiptu Danang membenarkan, kejadian pembacokan yang menimpa siswa SMPN 1 Cibadak.“Benar, pihak Polsek belum mengetahui kronologis kejadiannya, karena keluarga korban belum melaporkan kejadian tersebut ke pihak Polsek Cibadak,” kata Danang saat dihubungi, Senin (13/11/2023).Ia mengungkapkan, infonya korban sudah dibawa ke Rumah Sakit Adjidarmo Rangkasbitung guna mendapatkan pertolongan. “Korban sudah dibawa ke rumah sakit guna mendapatkan pertolongan,” ujarnya.Ia menambahkan, saat ini anggota Polsek Cibadak sedang melakukan penyisiran barangkali ditemukan yang mencurigakan.“Kalau ada info nanti dikabarin lagi kang,” ucapnya.(San/Red)",Kriminal
1.333 Caleg DPRD Banten Resmi Masuk DCT Pemilu 2024,"SERANG– Sebanyak 1.333 calon anggota legislatif (caleg) resmi masuk daftar calon tetap (DCT) DPRD Banten untuk Pemilu 2024 mendatang. Keputusan itu usai Komisi Pemilihan Umum (KPU) Provinsi Banten menggelar rapat pleno penetapan DCT Pemilu 2024 di Kantor KPU Provinsi Banten, Cipocok Jaya, Kota Serang, Jumat (3/11/2023).Berdasarkan informasi, Pemilu 2024 diikuti 18 partai, dengan total caleg DPRD Banten mencapai 1.333 orang.Dari 1.333 calon tersebut 833 calon laki-laki (62,49%) dan 500 calon perempuan (37,51%) termasuk calon yang berstatus mantan narapidana sebanyak 7 orang calon (0,53%) pada 5 partai politik.Ketua KPU Provinsi Banten, Muhamad Ihsan mengatakan, tahapan pencalonan Anggota DPRD ini terbagi dalam lima tahap yaitu, satu tahap penerimaan awal, dua tahap perbaikan dokumen persyaratan. Tiga, tahap pencermatan rancangan Daftar Calon Sementara (DCS), empat tahap pergantian DCS, dan lima, tahap pencermatan Daftar Calon Tetap (DCT).“Pada tahap penerimaan awal yang dilaksanakan pada tanggal 1 Mei hingga 14 Mei 2023 partai politik (parpol) mengajukan bakal calon Anggota DPRD sebanyak 1.560 orang bakal calon dengan calon laki-laki sebanyak 951 orang calon atau 60,96 persen, dan calon perempuan sebanyak 609 orang atau 39,04 persen,” kata IhsanLebih lanjut Ihsan menjelaskan, pada tahap perbaikan yang dilaksanakan pada tanggal 25 Juni hingga 9 Juli 2023 parpol peserta pemilu mengajukan bakal calon sebanyak 1.548 orang bakal calon atau berkurang 12 orang bakal calon dari pengajuan awal.“Rinciannya dengan bakal calon laki-laki sebanyak 949 orang atau 61,30 persen dan calon perempuan sebanyak 599 38,70 persen,” jelasnya.Selanjutnya pada tanggal 6 Agustus hingga 11 Agustus KPU melaksanakan tahapan penerimaan rancangan DCS, dimana parpol mengajukan bakal calon sebanyak 1.544 orang atau berkurang 4 orang dari tahap perbaikan dokumen persyaratan.“Berkurangnya bakal calon tersebut dikarenakan mundurnya bakal calon dari pencalonan,” ucapnya.Ihsan mengungkapkan, hasil verifikasi administrasi dokumen persyaratan dari jumlah 1.544 orang bakal calon tersebut, KPU menemukan 1.337 orang dinyatakan memenuhi syarat (MS), 205 orang dinyatakan tidak memenuhi syarat (TMS) dan 2 orang pada 1 dapil di 1 partai dinyatakan memenuhi syarat namun tidak disertakan dalam DCS dikarenakan tidak terpenuhinya syarat keterwakilan perempuan pada daerah pemilihan tersebut.“Oleh KPU dan diketahui serta disetujui oleh parpol mencoret 2 orang calon tersebut, dan pada tanggal 19 Agustus 2023 KPU Provinsi Banten menetapkan DCS sebanyak 1.337 orang calon dengan calon laki-laki sebanyak 831 orang calon atau 62,15 persen dan calon perempuan sebanyak 506 orang calon 37,85 persen,” ungkapnya.Menurut Ihsan, pada tahap pergantian DCS dimana calon yang boleh diganti yang dinyatakan TMS akibat adanya tanggapan masyarakat. Pada masa ini partai politik tidak ada yang mengajukan pergantian calon.Kemudian pada tanggal 24 September hingga 3 Oktober 2023 KPU Provinsi Banten melaksanakan tahap pencermatan DCT. Dimana pada tahap ini parpol diberikan kesempatan untuk yang terakhir kalinya untuk merubah susunan calon, mengganti calon dan mencoret atau mengurangi calon.“Parpol tidak diperbolehkan menambah jumlah calon sebagaimana yang telah ditetapkan dalam DCS. Pada tahap ini parpol mengajukan calon sebanyak 1.333 atau berkurang 4 orang dari DCS yang telah ditetapkan. Berkurangnya calon tersebut ada pada 3 partai politik yang disebabkan mengundurkan diri 2 orang dan menjadi tenaga PPPK sebanyak 2 orang,” ujarnya.“Dan pada tanggal 3 November 2023 KPU Provinsi Banten menetapkan DCT anggota DPRD Provinsi Banten Pemilu tahun 2024 sebanyak 1.333 dimana 833 calon laki-laki atau 62,49 persen dan 500 calon perempuan 37,51 persen yang tersebar pada 12 daerah pemilihan untuk memperebutkan 100 kursi DPRD Provinsi Banten,” sambungnya.Adapun sebaran kursi pada daerah pemilihan (dapil) tersebut antara lain, Dapil Banten 1 Kota Serang 6 kursi, Dapil Banten 2 Kabupaten Serang A 9 kursi. Dapil Banten 3 Kabupaten Serang B 5 kursi, Dapil Banten 4 Kabupaten Tangerang A 9 kursi.Dapil Banten 5 Kabupaten Serang B 9 kursi, Dapil Banten 6 Kabupaten Tangerang C 8 kursi, Dapil Banten 7 Kota Tangerang A 9 kursi. Dapil Banten 8 Kota Tangerang B 7 kursi, Dapil Banten 9 Kota Tangerang Selatan 11 kursi.Dapil Banten 10 Kabupaten Lebak 12 kursi, Dapil Banten 11 Kabupaten Pandeglang 11 kursi dan Dapil Banten 12 Kota Cilegon 4 kursi.(Mir/Red)",Politik
Musprov Pertina ke-5 Banten Segera Pilih Ketua Umum Baru,"SERANG– Musprov Persatuan Tinju Amatir Indonesia (Pertina) ke-5 di Provinsi Banten akan segera memilih ketua umum baru untuk periode 2023-2027.Saat ini, hanya ada satu kandidat kuat dalam pemilihan ketua umum Pertina Banten, yaitu Very Yugangga. Hal ini disampaikan Warta Ginting, Sekretaris Umum sekaligus Ketua Tim Penjaringan Musprov ke-5 Pertina Banten.Ginting menjelaskan bahwa tahapan pemilihan ketua umum baru Pertina Banten dimulai dengan konferensi pers pada tanggal 3 April ini.“Kemudian pada tanggal 4-6 April, tim penjaringan akan menyiapkan berkas untuk bakal calon ketua Pertina Banten masa bakti 2023-2027,” saat konferensi pers terkait pendaftaran pemilihan ketua umum Musprov Pertina Banten di salah satu hotel di Kota Serang pada Senin (3/4/2023).Selanjutnya, tanggal 7-9 April adalah pengembalian berkas bagi calon yang mendaftar, dan tanggal 10 April akan dilakukan verifikasi. Pengumuman hasil yang memenuhi syarat sebagai calon ketua Pertina Banten 2023-2027 akan dilakukan pada tanggal 11 April.Persyaratan yang harus dipenuhi oleh calon ketua umum Pertina Banten meliputi menjadi warga negara Indonesia dan berdomisili di Banten, sehat jasmani dan rohani, siap melaksanakan tugasnya sampai masa bakti bilamana dia nanti terpilih, serta didukung minimal 4 pengkab atau pengkot yang ada di Banten.Ada 8 pengurus Pertina yang akan memberikan suara, terdiri dari satu pengurus Pertina di Provinsi Banten, satu dari pengurus pusat, dan enam dari pengurus cabang di Banten. Calon ketua umum juga harus berkenan menyampaikan visi dan misinya saat melaksanakan Musprov nanti.“Pada Musprov nanti, kami berharap bisa memilih ketua umum Pertina Banten yang terbaik dan mampu memajukan tinju amatir di Provinsi Banten,” ujarnya.(Dhe/Red)",Olahraga
